Station,StationCode
FARRINGDON,zzz
EDGWARE,zzz
EUSTON,zzz
GOLDERS GREEN,zzz
SOUTH KENSINGTON,zzz
HOUNSLOW WEST,zzz
KINGS CROSS ST. PANCRAS,zzz
CLAPHAM SOUTH,zzz
RAYNERS LANE,zzz
HOLLAND PARK,zzz
MILE END,zzz
MARBLE ARCH,zzz
BAKER STREET,zzz
SOUTHWARK,zzz
BANK and MONUMENT,zzz
HOUNSLOW EAST,zzz
DAGENHAM EAST,zzz
WEST BROMPTON,zzz
HOLBORN,zzz
EARLS COURT,zzz
ST. PAULS,zzz
LONDON BRIDGE,zzz
KENNINGTON,zzz
HAMPSTEAD,zzz
BETHNAL GREEN,zzz
GREEN PARK,zzz
CAMDEN TOWN,zzz
WESTMINSTER,zzz
SOUTH WIMBLEDON,zzz
CHALK FARM,zzz
OLD STREET,zzz
LEYTON,zzz
VICTORIA,zzz
SEVEN SISTERS,zzz
BELSIZE PARK,zzz
EUSTON SQUARE,zzz
LEICESTER SQUARE,zzz
OVAL,zzz
BRIXTON,zzz
MARYLEBONE,zzz
HYDE PARK CORNER,zzz
BOND STREET,zzz
KNIGHTSBRIDGE,zzz
STRATFORD,zzz
WOOD GREEN,zzz
BARBICAN,zzz
TOTTENHAM COURT ROAD,zzz
EDGWARE ROAD (BAKERLOO),zzz
ALDGATE,zzz
KINGSBURY,zzz
CANADA WATER,zzz
KEW GARDENS,zzz
OXFORD CIRCUS,zzz
PICCADILLY CIRCUS,zzz
BERMONDSEY,zzz
CLAPHAM NORTH,zzz
LEYTONSTONE,zzz
STAMFORD BROOK,zzz
NORTH ACTON,zzz
THEYDON BOIS,zzz
WARREN STREET,zzz
WILLESDEN JUNCTION,zzz
MOOR PARK,zzz
MORNINGTON CRESCENT,zzz
BARKING,zzz
FINSBURY PARK,zzz
CANARY WHARF (JUBILEE),zzz
WATERLOO,zzz
LIVERPOOL STREET,zzz
WALTHAMSTOW CENTRAL,zzz
WEMBLEY PARK,zzz
CLAPHAM COMMON,zzz
HIGH STREET KENSINGTON,zzz
PIMLICO,zzz
BOW ROAD,zzz
COVENT GARDEN,zzz
GLOUCESTER ROAD,zzz
WEST HAMPSTEAD,zzz
CALEDONIAN ROAD,zzz
SHEPHERDS BUSH (CENTRAL),zzz
CHARING CROSS,zzz
HAMMERSMITH (D & P),zzz
STANMORE,zzz
HIGHBURY & ISLINGTON,zzz
PADDINGTON,zzz
COLLIERS WOOD,zzz
BOROUGH,zzz
MORDEN,zzz
BARONS COURT,zzz
TUFNELL PARK,zzz
RUISLIP MANOR,zzz
WEST HAM,zzz
FINCHLEY ROAD,zzz
TOOTING BEC,zzz
SUDBURY TOWN,zzz
ARSENAL,zzz
ARCHWAY,zzz
GREAT PORTLAND STREET,zzz
GREENFORD,zzz
WHITECHAPEL,zzz
PLAISTOW,zzz
STONEBRIDGE PARK,zzz
TURNPIKE LANE,zzz
STEPNEY GREEN,zzz
WHITE CITY,zzz
PARSONS GREEN,zzz
SOUTH EALING,zzz
WOODFORD,zzz
ELEPHANT & CASTLE,zzz
TURNHAM GREEN,zzz
COLINDALE,zzz
ALDGATE EAST,zzz
ST. JOHNS WOOD,zzz
RUSSELL SQUARE,zzz
ACTON TOWN,zzz
QUEENSWAY,zzz
BROMLEY-BY-BOW,zzz
EMBANKMENT,zzz
HIGHGATE,zzz
QUEENS PARK,zzz
WEST ACTON,zzz
WOOD LANE,zzz
ANGEL,zzz
CHANCERY LANE,zzz
DEBDEN,zzz
ARNOS GROVE,zzz
NOTTING HILL GATE,zzz
WEST FINCHLEY,zzz
KENTISH TOWN,zzz
MANSION HOUSE,zzz
NORTH HARROW,zzz
GOODGE STREET,zzz
MOORGATE,zzz
EAST FINCHLEY,zzz
HEATHROW TERMINAL 4,zzz
RICKMANSWORTH,zzz
STOCKWELL,zzz
QUEENSBURY,zzz
LANCASTER GATE,zzz
EDGWARE ROAD (C&H),zzz
BALHAM,zzz
UPTON PARK,zzz
BLACKHORSE ROAD,zzz
HAMMERSMITH (C & H),zzz
CHORLEYWOOD,zzz
UPNEY,zzz
HOLLOWAY ROAD,zzz
SOUTH KENTON,zzz
BOSTON MANOR,zzz
ICKENHAM,zzz
WARWICK AVENUE,zzz
TOOTING BROADWAY,zzz
ST. JAMESS PARK,zzz
HARROW-ON-THE-HILL,zzz
COCKFOSTERS,zzz
HENDON CENTRAL,zzz
RUISLIP,zzz
NORTH GREENWICH,zzz
CANNON STREET,zzz
MANOR HOUSE,zzz
ELM PARK,zzz
SOUTH RUISLIP,zzz
NORTHFIELDS,zzz
HIGH BARNET,zzz
