"id","Station","lat","lon"
"BST","Baker Street",51.522883,-0.15713
"CHX","Charing Cross",51.50741,-0.127277
"EAC","Elephant & Castle",51.494536,-0.100606
"EMB","Embankment",51.507058,-0.122666
"ERB","Edgware Road (Bakerloo)",51.520299,-0.17015
"HAW","Harrow & Wealdstone",51.592268,-0.335217
"HSN","Harlesden",51.53631,-0.257883
"KEN","Kenton",51.581756,-0.31691
"KPK","Kilburn Park",51.534979,-0.194232
"KSL","Kensal Green",51.530539,-0.225016
"LBN","Lambeth North",51.498808,-0.112315
"MVL","Maida Vale",51.529777,-0.185758
"MYB","Marylebone",51.522322,-0.163207
"NWY","North Wembley",51.562551,-0.304
"OXC","Oxford Circus",51.515224,-0.141903
"PAC","Paddington",51.516581,-0.175689
"PCC","Piccadilly Circus",51.51005,-0.133798
"QPS","Queen's Park",51.534158,-0.204574
"RGP","Regent's Park",51.523344,-0.146444
"SGP","Stonebridge Park",51.543959,-0.275892
"SKT","South Kenton",51.570232,-0.308433
"WJN","Willesden Junction",51.532259,-0.244283
"WKA","Warwick Avenue",51.523263,-0.183783
"WLO","Waterloo",51.503299,-0.11478
"WYC","Wembley Central",51.552304,-0.296852
"BKE","Barkingside",51.585689,0.088585
"BKH","Buckhurst Hill",51.626605,0.046757
"BLG","Bethnal Green",51.527222,-0.055506
"BND","Bond Street",51.514304,-0.149723
"BNK","Bank",51.513335,-0.088712
"CHL","Chancery Lane",51.518247,-0.111583
"CWL","Chigwell",51.617916,0.075041
"DBN","Debden",51.645386,0.083782
"EAN","East Acton",51.516612,-0.247248
"EBY","Ealing Broadway",51.515017,-0.301457
"EPG","Epping",51.69368,0.113767
"FLP","Fairlop",51.595618,0.091004
"GFD","Greenford",51.542424,-0.34605
"GGH","Grange Hill",51.613378,0.092066
"GTH","Gants Hill",51.576544,0.066185
"HBN","Holborn",51.51758,-0.120475
"HGR","Hanger Lane",51.530177,-0.292704
"HLT","Hainault",51.603659,0.093482
"HPK","Holland Park",51.507143,-0.205679
"LGN","Loughton",51.641443,0.055476
"LGT","Lancaster Gate",51.511723,-0.175494
"LVT","Liverpool Street",51.517372,-0.083182
